N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
154.0,대웅제약,154000.0,500.0,+0.33%,2500.0,14152.0,889.0,9.24
155.0,TIGER 200,30475.0,250.0,-0.81%,0.0,,,
156.0,LS ELECTRIC,57600.0,500.0,+0.88%,5000.0,27967.0,1551.0,11.05
157.0,TIGER 미국S&P500,12265.0,340.0,-2.70%,0.0,,,
158.0,JB금융지주,8400.0,30.0,+0.36%,5000.0,563956.0,7083.0,5.21
159.0,현대두산인프라코어,8230.0,50.0,-0.60%,1000.0,47823.0,2645.0,15.18
160.0,코스모신소재,52500.0,1300.0,-2.42%,1000.0,3485.0,218.0,49.76
161.0,녹십자,136000.0,500.0,-0.37%,5000.0,24621.0,737.0,2.24
162.0,삼천리,391500.0,1500.0,+0.38%,5000.0,42453.0,700.0,17.31
163.0,롯데칠성,171000.0,4500.0,+2.70%,500.0,35968.0,1822.0,10.99
164.0,한전KPS,35100.0,550.0,+1.59%,200.0,14269.0,1240.0,5.94
165.0,효성,74700.0,800.0,-1.06%,5000.0,52579.0,6406.0,36.31
166.0,효성첨단소재,346000.0,12000.0,-3.35%,5000.0,29087.0,4373.0,50.24
167.0,LX인터내셔널,39850.0,500.0,-1.24%,5000.0,67469.0,6562.0,47.9
168.0,현대일렉트릭,42300.0,50.0,-0.12%,5000.0,22150.0,97.0,-0.3
169.0,롯데정밀화학,57300.0,1500.0,-2.55%,5000.0,27235.0,2445.0,40.89
170.0,쌍용차,8760.0,0.0,0.00%,5000.0,18630.0,-2613.0,-17.66
171.0,금양,25100.0,1750.0,-6.52%,500.0,3148.0,121.0,23.59
172.0,효성티앤씨,336500.0,10000.0,-2.89%,5000.0,45265.0,14237.0,66.54
173.0,현대위아,53000.0,400.0,-0.75%,5000.0,77495.0,1027.0,14.19
174.0,두산,85800.0,1000.0,+1.18%,5000.0,260099.0,9459.0,15.54
175.0,DL이앤씨,36050.0,400.0,-1.10%,5000.0,87017.0,9573.0,
176.0,TIGER 미국필라델피아반도체나스닥,8915.0,355.0,-3.83%,0.0,,,
177.0,현대백화점,58000.0,700.0,-1.19%,5000.0,89692.0,2644.0,57.16
178.0,SK케미칼,78600.0,1800.0,-2.24%,5000.0,39556.0,5552.0,74.31
179.0,DGB금융지주,7830.0,20.0,-0.25%,5000.0,859060.0,7486.0,-11.69
180.0,TIGER 단기통안채,101955.0,5.0,0.00%,0.0,,,
181.0,한국앤컴퍼니,13750.0,50.0,-0.36%,500.0,40812.0,2283.0,17.59
182.0,동원시스템즈,45000.0,400.0,-0.88%,5000.0,14920.0,900.0,15.98
183.0,LX세미콘,78600.0,1500.0,-1.87%,500.0,11725.0,3696.0,63.43
184.0,DL,61000.0,200.0,-0.33%,5000.0,83230.0,2219.0,52.31
185.0,TIGER 미국테크TOP10 INDXX,8425.0,380.0,-4.32%,0.0,,,
186.0,현대건설기계,62300.0,1800.0,-2.81%,5000.0,35543.0,1607.0,37.39
187.0,F&F홀딩스,31350.0,150.0,-0.48%,500.0,29123.0,2231.0,3421.1
188.0,한미반도체,12550.0,300.0,-2.33%,100.0,4293.0,1224.0,44.98
189.0,대웅,20550.0,200.0,-0.96%,500.0,19337.0,1826.0,11.51
190.0,신풍제약,22550.0,50.0,-0.22%,500.0,3926.0,-143.0,-4.31
191.0,영풍,644000.0,28000.0,-4.17%,5000.0,55210.0,-268.0,12.52
192.0,코오롱인더,42550.0,500.0,-1.16%,5000.0,56013.0,2527.0,17.42
193.0,현대엘리베이,28550.0,100.0,-0.35%,5000.0,29874.0,1290.0,8.36
194.0,TIGER 2차전지테마,18070.0,225.0,-1.23%,0.0,,,
195.0,더존비즈온,38100.0,850.0,-2.18%,500.0,9003.0,712.0,4.01
196.0,동국제강,12000.0,100.0,+0.84%,5000.0,63341.0,8030.0,39.07
197.0,KODEX 단기채권PLUS,104840.0,40.0,+0.04%,0.0,,,
198.0,롯데제과,121000.0,1000.0,-0.82%,500.0,26666.0,1085.0,3.34
199.0,KODEX 2차전지산업,19400.0,130.0,-0.67%,0.0,,,
200.0,에스엘,24050.0,350.0,-1.43%,500.0,25675.0,1105.0,19.81
201.0,GKL,17950.0,450.0,-2.45%,500.0,5313.0,-1458.0,-53.87
202.0,솔루스첨단소재,31600.0,1250.0,-3.81%,100.0,10116.0,20.0,31.36
203.0,일진하이솔루스,30350.0,850.0,-2.72%,500.0,3435.0,98.0,3.67
204.0,SK가스,119000.0,3500.0,-2.86%,5000.0,51215.0,1055.0,47.19
205.0,후성,11700.0,250.0,-2.09%,500.0,6163.0,581.0,45.74
206.0,일동제약,40050.0,950.0,-2.32%,1000.0,7090.0,-555.0,-0.31
207.0,KODEX MSCI Korea TR,9995.0,70.0,-0.70%,0.0,,,
208.0,KODEX 삼성그룹,8730.0,95.0,-1.08%,0.0,,,
209.0,한샘,44950.0,250.0,-0.55%,1000.0,12464.0,693.0,7.92
210.0,종근당,88200.0,1500.0,-1.67%,2500.0,10467.0,948.0,3.11
211.0,롯데렌탈,28550.0,0.0,0.00%,5000.0,61250.0,2455.0,7.58
212.0,SK리츠,5320.0,20.0,+0.38%,500.0,24081.0,184.0,41.32
213.0,대덕전자,20850.0,650.0,-3.02%,500.0,9410.0,725.0,63.84
214.0,KBSTAR 200,30610.0,270.0,-0.87%,0.0,,,
215.0,제주항공,13250.0,450.0,-3.28%,1000.0,12668.0,-3172.0,-27.57
216.0,대한유화,154500.0,2000.0,-1.28%,5000.0,24789.0,1794.0,33.57
217.0,TIGER TOP10,9580.0,85.0,-0.88%,0.0,,,
218.0,SK네트웍스,4030.0,30.0,-0.74%,2500.0,94109.0,1220.0,3.69
219.0,오리온홀딩스,15650.0,50.0,+0.32%,500.0,49618.0,3157.0,5.9
220.0,아시아나항공,13150.0,150.0,-1.13%,5000.0,130827.0,932.0,11.9
221.0,덴티움,87900.0,3000.0,-3.30%,500.0,5702.0,699.0,26.89
222.0,롯데리츠,3985.0,55.0,-1.36%,500.0,23926.0,337.0,18.17
223.0,한국콜마,41550.0,400.0,-0.95%,500.0,26060.0,843.0,19.99
224.0,롯데관광개발,12850.0,300.0,-2.28%,500.0,13024.0,-1313.0,538.49
225.0,삼양식품,123000.0,4000.0,+3.36%,5000.0,7531.0,654.0,-1.0
226.0,풍산,33000.0,0.0,0.00%,5000.0,31483.0,3141.0,35.31
227.0,동양생명,5630.0,40.0,-0.71%,5000.0,371033.0,3322.0,
228.0,KODEX 코스닥150레버리지,6460.0,290.0,-4.30%,0.0,,,
229.0,아이에스동서,28950.0,450.0,-1.53%,500.0,35098.0,3108.0,33.99
230.0,하나투어,55600.0,1600.0,-2.80%,500.0,4306.0,-1273.0,-63.26
231.0,신세계인터내셔날,24950.0,650.0,-2.54%,1000.0,11591.0,920.0,9.45
232.0,더블유게임즈,48400.0,400.0,-0.82%,500.0,13819.0,1904.0,-5.18
233.0,PI첨단소재,30150.0,950.0,-3.05%,500.0,4730.0,759.0,15.31
234.0,NHN,24550.0,250.0,-1.01%,500.0,30272.0,979.0,17.21
235.0,다우기술,19550.0,150.0,-0.76%,500.0,463224.0,12572.0,28.61
236.0,솔루엠,17400.0,350.0,-1.97%,500.0,7109.0,265.0,7.13
237.0,TKG휴켐스,21200.0,100.0,-0.47%,1000.0,9493.0,934.0,45.1
